target,feature_group,fold,model,candidate,rmse,mae,directional_accuracy,rows
ADRO.JK,E0,fold1,zero_return_naive,,0.03754649649645125,0.026940817408260473,0.11570247933884298,242
ADRO.JK,E0,fold1,xgboost,depth2_lr005,0.03783891136331155,0.027685985671072548,0.45454545454545453,242
ADRO.JK,E0,fold1,xgboost,depth3_lr003,0.03768051836446923,0.027536869414979626,0.45454545454545453,242
ADRO.JK,E0,fold2,zero_return_naive,,0.026479142737649262,0.019177519004431168,0.08097165991902834,247
ADRO.JK,E0,fold2,xgboost,depth2_lr005,0.026656534196221174,0.01936030682534944,0.4574898785425101,247
ADRO.JK,E0,fold2,xgboost,depth3_lr003,0.026779362455943645,0.019570586306941234,0.46153846153846156,247
ADRO.JK,E0,fold3,zero_return_naive,,0.028462477154743846,0.020236211051868284,0.10569105691056911,246
ADRO.JK,E0,fold3,xgboost,depth2_lr005,0.028544995083053398,0.020329813503304844,0.4715447154471545,246
ADRO.JK,E0,fold3,xgboost,depth3_lr003,0.02841395690957182,0.020311111385227662,0.4878048780487805,246
ADRO.JK,E0,fold1,gru,lookback5_hidden16,0.03760629973323529,0.027042803130389675,0.4214876033057851,242
ADRO.JK,E0,fold2,gru,lookback5_hidden16,0.02639182132458674,0.019311364957646123,0.4574898785425101,247
ADRO.JK,E0,fold3,gru,lookback5_hidden16,0.0283921810356104,0.020342090047850477,0.47560975609756095,246
ADRO.JK,E0,fold1,gru,lookback10_hidden32,0.037544280565772435,0.027149947668273725,0.4214876033057851,242
ADRO.JK,E0,fold2,gru,lookback10_hidden32,0.026322103136340643,0.019248122398398425,0.47368421052631576,247
ADRO.JK,E0,fold3,gru,lookback10_hidden32,0.02838698034380739,0.02035413052682288,0.483739837398374,246
ADRO.JK,E0,fold1,transformer,lookback5_d16_heads2_ff32,0.03759243265734567,0.027292770218856493,0.40082644628099173,242
ADRO.JK,E0,fold2,transformer,lookback5_d16_heads2_ff32,0.026336586825515,0.0193380711777871,0.4574898785425101,247
ADRO.JK,E0,fold3,transformer,lookback5_d16_heads2_ff32,0.028390148156913545,0.02042747215780513,0.4796747967479675,246
ADRO.JK,E0,fold1,transformer,lookback10_d32_heads4_ff64,0.037441640162166195,0.026904171223517445,0.45041322314049587,242
ADRO.JK,E0,fold2,transformer,lookback10_d32_heads4_ff64,0.02646198950813037,0.019475997156729385,0.4534412955465587,247
ADRO.JK,E0,fold3,transformer,lookback10_d32_heads4_ff64,0.028357521888922838,0.02027864356518617,0.491869918699187,246
ADRO.JK,E1,fold1,zero_return_naive,,0.03754649649645125,0.026940817408260473,0.11570247933884298,242
ADRO.JK,E1,fold1,xgboost,depth2_lr005,0.038191470697798026,0.027609483670137637,0.44214876033057854,242
ADRO.JK,E1,fold1,xgboost,depth3_lr003,0.03837081089143258,0.027863640836544936,0.45041322314049587,242
ADRO.JK,E1,fold2,zero_return_naive,,0.026479142737649262,0.019177519004431168,0.08097165991902834,247
ADRO.JK,E1,fold2,xgboost,depth2_lr005,0.026667431641995476,0.01933888493083645,0.4898785425101215,247
ADRO.JK,E1,fold2,xgboost,depth3_lr003,0.026974516339030828,0.0196195580633951,0.48582995951417,247
ADRO.JK,E1,fold3,zero_return_naive,,0.028462477154743846,0.020236211051868284,0.10569105691056911,246
ADRO.JK,E1,fold3,xgboost,depth2_lr005,0.028706915317518535,0.02056294295977801,0.4634146341463415,246
ADRO.JK,E1,fold3,xgboost,depth3_lr003,0.028738610316980554,0.020514533593855227,0.4878048780487805,246
ADRO.JK,E1,fold1,gru,lookback5_hidden16,0.03746247971060217,0.02707679833219125,0.4297520661157025,242
ADRO.JK,E1,fold2,gru,lookback5_hidden16,0.02642233056049322,0.01930179816943137,0.46558704453441296,247
ADRO.JK,E1,fold3,gru,lookback5_hidden16,0.028394752858734527,0.02027999161722752,0.47560975609756095,246
ADRO.JK,E1,fold1,gru,lookback10_hidden32,0.03759532915429708,0.02711375633303715,0.4132231404958678,242
ADRO.JK,E1,fold2,gru,lookback10_hidden32,0.026389044893371044,0.019256731087807566,0.46153846153846156,247
ADRO.JK,E1,fold3,gru,lookback10_hidden32,0.028391021287777683,0.020247540126244228,0.47560975609756095,246
ADRO.JK,E1,fold1,transformer,lookback5_d16_heads2_ff32,0.03761225212813652,0.02740813626557558,0.4256198347107438,242
ADRO.JK,E1,fold2,transformer,lookback5_d16_heads2_ff32,0.02674648065714722,0.01969925085740609,0.4008097165991903,247
ADRO.JK,E1,fold3,transformer,lookback5_d16_heads2_ff32,0.028471816850673935,0.020287154014771273,0.4796747967479675,246
ADRO.JK,E1,fold1,transformer,lookback10_d32_heads4_ff64,0.03748799514278143,0.02728037784825664,0.4834710743801653,242
ADRO.JK,E1,fold2,transformer,lookback10_d32_heads4_ff64,0.026624444684001197,0.01973439456337897,0.46153846153846156,247
ADRO.JK,E1,fold3,transformer,lookback10_d32_heads4_ff64,0.02845123184606182,0.020344099240487336,0.46747967479674796,246
ADRO.JK,E2,fold1,zero_return_naive,,0.03754649649645125,0.026940817408260473,0.11570247933884298,242
ADRO.JK,E2,fold1,xgboost,depth2_lr005,0.03804426408287098,0.02769352038002186,0.47520661157024796,242
ADRO.JK,E2,fold1,xgboost,depth3_lr003,0.03798073388186326,0.027531174513608394,0.49586776859504134,242
ADRO.JK,E2,fold2,zero_return_naive,,0.026479142737649262,0.019177519004431168,0.08097165991902834,247
ADRO.JK,E2,fold2,xgboost,depth2_lr005,0.026637319248736364,0.01932013242584845,0.38461538461538464,247
ADRO.JK,E2,fold2,xgboost,depth3_lr003,0.026736271414584158,0.01930186075230667,0.4493927125506073,247
ADRO.JK,E2,fold3,zero_return_naive,,0.028462477154743846,0.020236211051868284,0.10569105691056911,246
ADRO.JK,E2,fold3,xgboost,depth2_lr005,0.02857476313099488,0.020450366614242325,0.4715447154471545,246
ADRO.JK,E2,fold3,xgboost,depth3_lr003,0.02854711889292471,0.02049437074150574,0.4634146341463415,246
ADRO.JK,E2,fold1,gru,lookback5_hidden16,0.03689559444508362,0.026757723669144362,0.5041322314049587,242
ADRO.JK,E2,fold2,gru,lookback5_hidden16,0.026388338450616625,0.01941519159223198,0.46558704453441296,247
ADRO.JK,E2,fold3,gru,lookback5_hidden16,0.028112246124816293,0.020169009279452144,0.4959349593495935,246
ADRO.JK,E2,fold1,gru,lookback10_hidden32,0.03683864717103537,0.026911097141906374,0.4834710743801653,242
ADRO.JK,E2,fold2,gru,lookback10_hidden32,0.026434090504747265,0.019350938857410495,0.44129554655870445,247
ADRO.JK,E2,fold3,gru,lookback10_hidden32,0.02810965502789393,0.02018736575458509,0.4715447154471545,246
ADRO.JK,E2,fold1,transformer,lookback5_d16_heads2_ff32,0.036918103305788236,0.026999821430139535,0.4628099173553719,242
ADRO.JK,E2,fold2,transformer,lookback5_d16_heads2_ff32,0.0267413588108741,0.019855188717924223,0.47368421052631576,247
ADRO.JK,E2,fold3,transformer,lookback5_d16_heads2_ff32,0.028234541043674843,0.020484692147342352,0.4715447154471545,246
ADRO.JK,E2,fold1,transformer,lookback10_d32_heads4_ff64,0.037141575575446555,0.02704221645152689,0.4834710743801653,242
ADRO.JK,E2,fold2,transformer,lookback10_d32_heads4_ff64,0.026500927155706802,0.019402575267192263,0.4493927125506073,247
ADRO.JK,E2,fold3,transformer,lookback10_d32_heads4_ff64,0.028244415079533198,0.020188221172950178,0.508130081300813,246
ADRO.JK,E3,fold1,zero_return_naive,,0.03754649649645125,0.026940817408260473,0.11570247933884298,242
ADRO.JK,E3,fold1,xgboost,depth2_lr005,0.03895926531444972,0.028254824919250795,0.49173553719008267,242
ADRO.JK,E3,fold1,xgboost,depth3_lr003,0.03891178407131757,0.028021877518335948,0.4834710743801653,242
ADRO.JK,E3,fold2,zero_return_naive,,0.026479142737649262,0.019177519004431168,0.08097165991902834,247
ADRO.JK,E3,fold2,xgboost,depth2_lr005,0.02672086573862617,0.019389598523722986,0.4574898785425101,247
ADRO.JK,E3,fold2,xgboost,depth3_lr003,0.026847251700723884,0.019564954648065094,0.4534412955465587,247
ADRO.JK,E3,fold3,zero_return_naive,,0.028462477154743846,0.020236211051868284,0.10569105691056911,246
ADRO.JK,E3,fold3,xgboost,depth2_lr005,0.028471984774242932,0.020424787298018336,0.4715447154471545,246
ADRO.JK,E3,fold3,xgboost,depth3_lr003,0.02876954185255789,0.020686454956247397,0.4715447154471545,246
ADRO.JK,E3,fold1,gru,lookback5_hidden16,0.037405511018577364,0.027023139118201537,0.45867768595041325,242
ADRO.JK,E3,fold2,gru,lookback5_hidden16,0.02639902969139242,0.019292148832620124,0.4574898785425101,247
